customer_city,product_category_name_english,total_orders
santa maria de jetiba,perfumery,7
simoes filho,telephony,7
gaspar,computers_accessories,7
sorriso,health_beauty,7
irati,housewares,7
francisco beltrao,furniture_decor,7
araucaria,computers_accessories,7
taguatinga,housewares,7
monte mor,bed_bath_table,7
monte azul paulista,bed_bath_table,7
paulo afonso,garden_tools,7
araguaina,telephony,7
cruzeiro,garden_tools,7
jaboticabal,bed_bath_table,7
patrocinio,bed_bath_table,7
vespasiano,bed_bath_table,7
itapira,bed_bath_table,7
itapolis,garden_tools,7
ouro branco,computers_accessories,7
boa vista,sports_leisure,7
viradouro,sports_leisure,7
padre carvalho,construction_tools_construction,7
herval d'oeste,auto,7
guararapes,health_beauty,7
matinhos,health_beauty,7
ponte nova,sports_leisure,7
japeri,office_furniture,7
itajobi,bed_bath_table,7
embu,furniture_decor,7
arapiraca,computers_accessories,7
sao bento do sul,health_beauty,7
janauba,furniture_decor,7
capao da canoa,bed_bath_table,7
mirassol,bed_bath_table,7
esteio,bed_bath_table,7
uruguaiana,health_beauty,7
capao bonito,bed_bath_table,7
valenca,bed_bath_table,7
almirante tamandare,health_beauty,7
porto ferreira,garden_tools,7
barra do garcas,garden_tools,7
conceicao da aparecida,furniture_decor,7
ibirite,health_beauty,7
trindade,health_beauty,7
capivari,bed_bath_table,7
sao jose do rio pardo,bed_bath_table,7
rolandia,bed_bath_table,7
sao lourenco,computers_accessories,7
cianorte,sports_leisure,7
sao pedro da aldeia,health_beauty,7
rosario do sul,housewares,7
varzea grande,auto,6
ubajara,housewares,6
espinosa,computers_accessories,6
unai,bed_bath_table,6
dracena,garden_tools,6
curvelo,bed_bath_table,6
umuarama,computers_accessories,6
cravinhos,furniture_decor,6
taquaritinga,sports_leisure,6
morrinhos,garden_tools,6
para de minas,computers_accessories,6
sao joaquim da barra,office_furniture,6
cordeiropolis,drinks,6
itabirito,garden_tools,6
jardinopolis,bed_bath_table,6
santa isabel,sports_leisure,6
guara,computers_accessories,6
guapore,computers_accessories,6
cerqueira cesar,furniture_decor,6
guaira,health_beauty,6
curitibanos,computers_accessories,6
osorio,garden_tools,6
datas,housewares,6
cerquilho,bed_bath_table,6
itaperuna,bed_bath_table,6
santo antonio de padua,bed_bath_table,6
arapongas,furniture_decor,6
santiago,health_beauty,6
santana,fixed_telephony,6
paraty,sports_leisure,6
catalao,garden_tools,6
itauna,computers_accessories,6
sacramento,health_beauty,6
carmo do rio claro,toys,6
santa fe do sul,computers_accessories,6
salinas,computers_accessories,6
cachoeira paulista,sports_leisure,6
caldas novas,bed_bath_table,6
crato,health_beauty,6
ilhabela,bed_bath_table,6
imbe,bed_bath_table,6
aparecida do taboado,construction_tools_construction,6
valparaiso de goias,furniture_decor,6
saquarema,bed_bath_table,6
sao sebastiao do paraiso,watches_gifts,6
ibiruba,auto,6
indaial,computers_accessories,6
teixeira de freitas,furniture_decor,6
sao sebastiao do cai,housewares,6
raposos,furniture_decor,6
capitolio,sports_leisure,6
sao mateus,electronics,6
lencois paulista,sports_leisure,6
lajeado,furniture_decor,6
lapa,health_beauty,6
laranjeiras do sul,garden_tools,6
inconfidentes,furniture_decor,6
rancharia,bed_bath_table,6
registro,health_beauty,6
redencao,sports_leisure,6
bage,bed_bath_table,6
barra do pirai,bed_bath_table,6
rio do sul,bed_bath_table,6
ilha solteira,housewares,6
porto seguro,bed_bath_table,6
faxinal dos guedes,garden_tools,6
formosa,bed_bath_table,6
fernandopolis,bed_bath_table,6
formiga,bed_bath_table,6
corumba,watches_gifts,6
tramandai,bed_bath_table,6
eunapolis,telephony,6
macaubas,housewares,6
macatuba,furniture_decor,6
belo oriente,pet_shop,6
luis eduardo magalhaes,furniture_decor,6
candido godoi,housewares,6
cruz das almas,bed_bath_table,6
mineiros,sports_leisure,6
barreiras,sports_leisure,6
maracanau,garden_tools,6
estancia velha,bed_bath_table,6
alto boa vista,furniture_decor,6
videira,garden_tools,6
campos novos,furniture_decor,6
ponta pora,construction_tools_lights,6
pompeia,construction_tools_construction,6
seropedica,computers_accessories,6
andradina,health_beauty,6
icara,construction_tools_lights,6
veranopolis,furniture_decor,6
campo novo do parecis,signaling_and_security,6
miguel pereira,bed_bath_table,6
sapiranga,bed_bath_table,6
mafra,housewares,6
adamantina,bed_bath_table,6
alagoinhas,sports_leisure,5
vacaria,bed_bath_table,5
panambi,sports_leisure,5
brumadinho,computers_accessories,5
divino,bed_bath_table,5
dois vizinhos,health_beauty,5
viana,garden_tools,5
ouro fino,computers_accessories,5
buritama,furniture_decor,5
cacador,furniture_decor,5
abaetetuba,computers_accessories,5
piumhii,housewares,5
piuma,sports_leisure,5
matias olimpio,housewares,5
matao,health_beauty,5
miguelopolis,bed_bath_table,5
capanema,garden_tools,5
mandaguari,office_furniture,5
marau,housewares,5
campos do jordao,health_beauty,5
marialva,housewares,5
campo largo,furniture_decor,5
fartura,computers_accessories,5
eusebio,agro_industry_and_commerce,5
tres lagoas,furniture_decor,5
alegre,bed_bath_table,5
cruz alta,auto,5
belo jardim,health_beauty,5
bom jesus dos perdoes,bed_bath_table,5
piraju,home_confort,5
pirai,furniture_decor,5
picos,health_beauty,5
potiragua,telephony,5
presidente epitacio,health_beauty,5
promissao,bed_bath_table,5
barra velha,furniture_decor,5
porto feliz,bed_bath_table,5
batatais,watches_gifts,5
cantagalo,bed_bath_table,5
canoinhas,furniture_decor,5
capinzal,telephony,5
lucas do rio verde,watches_gifts,5
barra do corda,sports_leisure,5
telemaco borba,bed_bath_table,5
teutonia,garden_tools,5
campo bom,housewares,5
aguai,computers_accessories,5
tres cachoeiras,furniture_decor,5
tucurui,housewares,5
capelinha,health_beauty,5
raul soares,watches_gifts,5
regente feijo,sports_leisure,5
juazeiro do norte,health_beauty,5
juazeiro,computers_accessories,5
juquitiba,bed_bath_table,5
laranjal paulista,housewares,5
japuiba,computers_accessories,5
ronda alta,office_furniture,5
rio grande da serra,watches_gifts,5
formosa do rio preto,office_furniture,5
taquara,computers_accessories,5
taquarituba,cool_stuff,5
monte alto,bed_bath_table,5
bom jesus do itabapoana,computers_accessories,5
perdoes,sports_leisure,5
mossoro,furniture_decor,5
ituverava,auto,5
jales,bed_bath_table,5
santa cruz do rio pardo,books_general_interest,5
jacutinga,furniture_decor,5
jandaia do sul,auto,5
sobral,health_beauty,5
camboriu,garden_tools,5
cambara,auto,5
camaragibe,health_beauty,5
navegantes,health_beauty,5
natividade,health_beauty,5
brumado,computers_accessories,5
parambu,telephony,5
ariquemes,computers_accessories,5
itapema,cool_stuff,5
cataguases,bed_bath_table,5
santa rosa,bed_bath_table,5
santa rita do sapucai,toys,5
sao borja,computers_accessories,5
cerro largo,housewares,5
santo anastacio,furniture_decor,5
taiuva,fixed_telephony,5
congonhas,bed_bath_table,5
guapimirim,sports_leisure,5
aracruz,computers_accessories,5
passos,telephony,5
nova esperanca do sul,health_beauty,5
cachoeira do sul,health_beauty,5
palmital,bed_bath_table,5
nova odessa,computers_accessories,5
sao jose do vale do rio preto,bed_bath_table,5
imperatriz,furniture_decor,5
codo,office_furniture,5
cocalinho,telephony,5
sao gotardo,garden_tools,5
sao goncalo do rio abaixo,auto,5
iguaba grande,bed_bath_table,5
sao mateus do sul,garden_tools,5
claudio,bed_bath_table,5
sarandi,bed_bath_table,5
antonina,health_beauty,5
conservatoria,bed_bath_table,5
senhor do bonfim,garden_tools,5
ibiuna,bed_bath_table,5
ibitinga,sports_leisure,5
novo horizonte,bed_bath_table,5
aguas lindas de goias,bed_bath_table,5
aguas de lindoia,bed_bath_table,5
abreu e lima,garden_tools,4
vilhena,furniture_decor,4
xaxim,health_beauty,4
vazante,auto,4
aguas da prata,furniture_decor,4
eldorado do sul,bed_bath_table,4
espirito santo do pinhal,housewares,4
uruacu,garden_tools,4
cachoeiras de macacu,bed_bath_table,4
orleans,toys,4
caceres,office_furniture,4
ouricuri,health_beauty,4
palmeira das missoes,sports_leisure,4
treze tilias,telephony,4
tiradentes,bed_bath_table,4
timbo,furniture_decor,4
alem paraiba,bed_bath_table,4
altamira,health_beauty,4
alta floresta,housewares,4
alvinopolis,furniture_decor,4
nova olinda,auto,4
paraguacu,garden_tools,4
brasilia de minas,furniture_decor,4
teixeiras,sports_leisure,4
tijucas,perfumery,4
tocantinopolis,telephony,4
coronel fabriciano,cool_stuff,4
taquaritinga do norte,bed_bath_table,4
garca,computers_accessories,4
goianesia,bed_bath_table,4
sombrio,computers_accessories,4
socorro,housewares,4
taio,bed_bath_table,4
gravata,furniture_decor,4
gramado,bed_bath_table,4
guaiba,bed_bath_table,4
guacui,bed_bath_table,4
cornelio procopio,stationery,4
serra talhada,watches_gifts,4
paraisopolis,housewares,4
parauapebas,fashion_sport,4
braco do norte,health_beauty,4
nova era,bed_bath_table,4
serra negra,housewares,4
sidrolandia,sports_leisure,4
andira,computers_accessories,4
guaracai,furniture_decor,4
guariba,health_beauty,4
gurupi,perfumery,4
saudades,bed_bath_table,4
sarzedo,sports_leisure,4
serrana,bed_bath_table,4
holambra,bed_bath_table,4
ibatiba,bed_bath_table,4
pederneiras,furniture_decor,4
